short_name	abbrev
N6G	㐏
URU	㐿
M1Y	㑀
NF2	㑁
3TD	㑂
pmnm5U	{
B8N	㑃
C4J	㑄
FHU	㑅
CSL	㐃
1RN	㑆
m1Am	œ
m1Gm	ε
pm1Gm	ε
m1Im	ξ
pm1Im	ξ
U5M	㑇
U5R	㑈
US3	㑖
7AT	㐐
US5	㑉
ps2U	2
ONE	㑊
PYO	㑋
m1acp3Y	α
pm1acp3Y	α
m1A	"
m1G	K
m1I	O
pm1I	O
m1Y	]
pm1Y	]
U4M	㑌
pm1G	K
pm5Um	\
M5M	㐦
A5M	㐧
2AD	㐑
A9Z	㐒
AF2	㐀
CFZ	㐄
UFT	㐋
UFB	㑍
UMO	㑎
UMS	㐌
pAr(p)	^
hm5Cm	¡
Am	:
pAm	:
Cm	B
Gm	#
Im	≤
Ym	Ζ
pYm	Z
Um	J
mcmo5Um	Ͽ
Ar(p)	^
Gr(p)	ℑ
pGr(p)	ℑ
pGr	Ѥ
UOB	㑏
XUG	㐇
m2,8A	±
msms2i6A	£
GMX	㐵
2PR	㐈
TG	㐶
ges2U	Γ
k2C	}
pk2C	}
m2A	/
pm2A	/
ms2ct6A	ÿ
ms2io6A	≠
pms2io6A	≠
ms2hn6A	≈
pms2i6A	*
ms2i6A	*
ms2m6A	∞
ms2t6A	[
pms2t6A	[
se2U	ω
s2Um	∏
ps2Um	∏
s2C	%
ps2C	%
s2U	2
pm2G	L
8AN	㐓
3DA	㐔
GDO	㐷
m3Um	σ
acp3D	Ð
acp3Um	‡
acp3Y	Þ
acp3U	X
A7C	㐕
A7E	㐖
m3C	'
pm3C	'
m3Y	Κ
pm3Y	Κ
m3U	δ
S4C	㐨
CFL	㐅
10C	㐩
imG-14	†
s4U	4
ps4U	4
pm4Cm	Λ
CoApN	♠
acCoApN	♣
malonyl-CoApN	♥
succinyl-CoApN	♦
ppN	ϒ
NADpN	Ξ
pppN	ϖ
RY	㐪
73W	㐫
45A	㐗
m5Cm	τ
m5Um	\
pD	D
mchm5Um	b
mchm5U	,
pmchm5U	,
pcmo5U	V
inm5Um	¼
pinm5Um	¼
inm5s2U	½
inm5U	¾
pmcm5s2U	3
nm5ges2U	Δ
pnm5ges2U	Δ
nm5se2U	π
pnm5se2U	π
nm5s2U	∫
pnm5s2U	∫
nm5U	∪
pnm5U	∪
CBR	㐆
BRU	㐍
5BU	㑐
CBV	㐬
nchm5U	r
ncm5Um	~
ncm5s2U	l
pncm5s2U	l
ncm5U	&
pncm5U	&
chm5U	≥
pchm5U	≥
cm5s2U	℘
pcm5s2U	℘
cmnm5Um	)
pcmnm5Um	)
cmnm5ges2U	f
pcmnm5ges2U	f
cmnm5se2U	⊥
pcmnm5se2U	⊥
cmnm5s2U	$
pcmnm5s2U	$
cmnm5U	!
pcmnm5U	!
cm5U	◊
pcm5U	◊
cnm5U	Ѷ
pcnm5U	Ѷ
5CF	㐭
f5Cm	°
pf5Cm	°
f5se2U	⊕
f5s2U	⊗
f5Um	⊃
f5C	>
pf5C	>
f5U	⊂
ho5C	Ç
pho5C	Ç
hm5C	∅
ho5U	∝
5IC	㐮
IU	㑑
mcm5Um	∩
pmcm5Um	∩
mcm5s2U	3
mcm5U	1
pmcm5U	1
mo5U	5
pmo5U	5
m5s2U	F
pm5s2U	F
mnm5ges2U	h
mnm5se2U	≅
mnm5s2U	S
pmnm5s2U	S
mnm5U	{
m5C	?
pm5C	?
m5D	ρ
m5U	T
pm5U	T
N5M	㐯
tm5s2U	∃
ptm5s2U	∃
tm5U	Ê
ptm5U	Ê
yW-86	¥
yW-72	Ω
yW-58	⇑
preQ1base	∇
preQ1	∉
preQ0base	ψ
preQ0	φ
m7G	7
pm7G	7
8AZ	㐘
BGM	㐉
GRB	㐸
m8A	â
A5L	㐁
MTU	㐙
LCC	㐱
LCA	㐜
TLN	㑒
LCG	㐹
pac4Cm	ℵ
O2Z	㐞
B8H	㑓
ANZ	㐟
A5O	㐠
A	A
ADS	㐡
ppA	か
pA	A
SRA	㐢
C+	¿
N	.
G+	(
pG+	(
ct6A	e
C	C
pC	C
CAR	㐲
PYY	㐥
D	D
oQ	ς
galQ	9
pgalQ	9
mpppN	§
gluQ	⊄
pgluQ	⊄
GAO	㐺
G	G
2SG	㐻
GpppN	ϑ
pGp	Ⱥ
ppG	Ƈ
pG	G
GS	㐼
G3A	㐽
ht6A	«
OHyW	⊆
I	I
pI	I
IC	㐳
IG	㐾
imG2	⊇
manQ	8
pmanQ	8
OHyWy	y
mimG	∑
pm1A	"
pac4C	M
1DP	㐚
AP7	㐛
m2Gm	γ
m2,7Gm	æ
m2,7G	∨
m2,7GpppN	®
m2,2Gm	|
pm2,2Gm	|
m2,2,7G	∠
m2,2,7GpppN	¶
m2,2G	R
pm2,2G	R
m2G	L
CH	㐰
m4Cm	Λ
m4,4Cm	β
m4,4C	μ
ac4Cm	ℵ
ac4C	M
m4C	ν
m6Am	χ
pm6Am	χ
m6,6Am	η
m6,6A	ζ
io6A	`
pio6A	`
ac6A	⇓
5AA	㐂
f6A	Ϩ
g6A	≡
hm6A	Ϫ
hn6A	√
pi6A	+
i6A	+
m6t6A	E
pm6t6A	E
m6A	=
pm6A	=
t6A	6
pt6A	6
m7GpppN	©
pCm	B
pGm	#
pUm	J
o2yW	W
po2yW	Ŵ
Y	P
pY	P
P5P	㐣
PPU	㐤
Qbase	∴
Q	Q
pQ	Q
OHyWx	š
pN	m
xX	@
xA	H
xC	<
xG	;
xU	N
Xm	Î
UAR	㑔
U	U
U37	㑕
cmo5U	V
mcmo5U	υ
pU	U
yW	Y
pyW	Y
imG	€
m22G	R
Psi	P
Psim	Z
QtRNA	Q
galQtRNA	9
m1Psi	]
